"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 12:04:20 GMT 2023","Mon Sep 11 12:04:20 GMT 2023","23","","Labels","","Create new label via api","","Create new label via api",""
"broken","Mon Sep 11 12:04:21 GMT 2023","Mon Sep 11 12:04:21 GMT 2023","27","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Mon Sep 11 12:04:22 GMT 2023","Mon Sep 11 12:04:22 GMT 2023","1","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"failed","Mon Sep 11 12:04:21 GMT 2023","Mon Sep 11 12:04:22 GMT 2023","1011","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Mon Sep 11 12:04:21 GMT 2023","Mon Sep 11 12:04:21 GMT 2023","3","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Mon Sep 11 12:04:22 GMT 2023","Mon Sep 11 12:04:22 GMT 2023","2","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"broken","Mon Sep 11 12:04:21 GMT 2023","Mon Sep 11 12:04:21 GMT 2023","9","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
